n,Sample # ,Sample ID,Date Form was filled out,Date Sample was taken (if different),Age,Current Residence,Childhood Residence,Diet,Demographic,Chemical Treatment,Natural Hair Color,Hair Texture,Hair Density,Products Used,Brand of Shampoo Used,Brand of Conditioner Used,Brand of Other Products Used,Features of Product? ,Notable Ingredients?
18,H18,H18-3.28.2021-02,3/28/2021 11:46,,21,McAfee,"West Windsor, New Jersey",none,Student,none,black,Straight,Thick/Coarse ,"Shampoo, Conditioner",Garnier Fructis ,Garnier Fructis,NaN,anti-frizz,"active protein, vitamin E, argan oil"
18,H18,H18-3.28.2021-03,3/28/2021 11:46,,21,McAfee,"West Windsor, New Jersey",none,Student,none,black,Straight,Thick/Coarse ,"Shampoo, Conditioner",Garnier Fructis ,Garnier Fructis,NaN,anti-frizz,"active protein, vitamin E, argan oil"
20,H20,H20-3.28.2021-01,3/28/2021 18:57,,21,McAfee Wellesley College,"Rockford, Michigan",none,Student,Dye,blonde,Straight ,Medium-density ,"Shampoo, Conditioner",Lush  ,Tresemme ,NaN,deep-clean,"lime oil, juniperberry oil, rosemary"
20,H20,H20-3.28.2021-02,3/28/2021 18:57,,21,McAfee Wellesley College,"Rockford, Michigan",none,Student,Dye,blonde,Straight ,Medium-density ,"Shampoo, Conditioner",Lush  ,Tresemme ,NaN,deep-clean,"lime oil, juniperberry oil, rosemary"
20,H20,H20-3.28.2021-03,3/28/2021 18:57,,21,McAfee Wellesley College,"Rockford, Michigan",none,Student,Dye,blonde,Straight ,Medium-density ,"Shampoo, Conditioner",Lush  ,Tresemme ,NaN,deep-clean,"lime oil, juniperberry oil, rosemary"
21,H21,H21-3.28.2021-01,3/28/2021 19:40,,20,McAfee (Wellesley),"Green Brook, NJ",none,Student,none,black,Straight ,Thick/Coarse ,"Shampoo, Conditioner",Tresemme,Tresemme ,NaN,color vibrance,"sulfate-free, paraben free, pomegranite oil, camellia oil"
21,H21,H21-3.28.2021-03,3/28/2021 19:40,,20,McAfee (Wellesley),"Green Brook, NJ",none,Student,none,black,Straight ,Thick/Coarse ,"Shampoo, Conditioner",Tresemme,Tresemme ,NaN,color vibrance,"sulfate-free, paraben free, pomegranite oil, camellia oil"
21,H21,H21-3.28.2021-03,3/28/2021 19:40,,20,McAfee (Wellesley),"Green Brook, NJ",none,Student,none,black,Straight ,Thick/Coarse ,"Shampoo, Conditioner",Tresemme,Tresemme ,NaN,color vibrance,"sulfate-free, paraben free, pomegranite oil, camellia oil"
22,H22,H22-3.29.2021-01,3/29/2021 14:49,,54,"Bristol, CT","Seymour, CT",Vegan,Non-Wellesley,Dye,brown,Straight ,Fine ,Shampoo,NaN,NaN,NaN,NaN,NaN
22,H22,H22-3.29.2021-02,3/29/2021 14:49,,54,"Bristol, CT","Seymour, CT",Vegan,Non-Wellesley,Dye,brown,Straight ,Fine ,Shampoo,NaN,NaN,NaN,NaN,NaN
22,H22,H22-3.29.2021-03,3/29/2021 14:49,,54,"Bristol, CT","Seymour, CT",Vegan,Non-Wellesley,Dye,brown,Straight ,Fine ,Shampoo,NaN,NaN,NaN,NaN,NaN
